RegionName,City,State,Metro,CountyName,SizeRank,2017-12
20910,Silver Spring,MD,Washington,Montgomery,442,2000
8873,Franklin Township,NJ,New York,Somerset,443,2000
76137,Fort Worth,TX,Dallas-Fort Worth,Tarrant,443,1495
19104,Philadelphia,PA,Philadelphia,Philadelphia,445,1600
34668,Port Richey,FL,Tampa,Pasco,446,975
94806,San Pablo,CA,San Francisco,Contra Costa,447,2650
92117,San Diego,CA,San Diego,San Diego,448,2400
32771,Sanford,FL,Orlando,Seminole,449,1383
6457,Middletown,CT,Hartford,Middlesex,450,1400
30075,Roswell,GA,Atlanta,Fulton,451,2000
19131,Philadelphia,PA,Philadelphia,Philadelphia,452,1289
92128,San Diego,CA,San Diego,San Diego,453,2350
2135,Boston,MA,Boston,Suffolk,454,2100
85255,Scottsdale,AZ,Phoenix,Maricopa,455,2600
22407,Fredericksburg,VA,Washington,Spotsylvania,456,1500
19144,Philadelphia,PA,Philadelphia,Philadelphia,457,1200
19711,Newark,DE,Philadelphia,New Castle,458,1780
94591,Vallejo,CA,Vallejo,Solano,459,2285
48066,Roseville,MI,Detroit,Macomb,460,955
89147,Las Vegas,NV,Las Vegas,Clark,461,1325
22192,Woodbridge,VA,Washington,Prince William,462,1795
76179,Fort Worth,TX,Dallas-Fort Worth,Tarrant,463,1495
7728,Freehold Township,NJ,New York,Monmouth,464,1970
33023,Miramar,FL,Miami-Fort Lauderdale,Broward,465,1772.5
19702,Newark,DE,Philadelphia,New Castle,466,1375
94086,Sunnyvale,CA,San Jose,Santa Clara,467,3800
92130,San Diego,CA,San Diego,San Diego,468,3200
85201,Mesa,AZ,Phoenix,Maricopa,469,1200
79424,Lubbock,TX,Lubbock,Lubbock,470,1350
22201,Arlington,VA,Washington,Arlington,471,2495
61761,Normal,IL,Bloomington,McLean,472,910
91801,Alhambra,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,473,2300
30144,Kennesaw,GA,Atlanta,Cobb,474,1500
78254,San Antonio,TX,San Antonio,Bexar,475,1450
72034,Conway,AR,Little Rock,Faulkner,476,950
19380,West Chester,PA,Philadelphia,Chester,477,1900
45424,Huber Heights,OH,Dayton,Montgomery,478,925
90042,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,479,2300
83646,Meridian,ID,Boise City,Ada,480,1495
32839,Orlando,FL,Orlando,Orange,481,965
45040,Mason,OH,Cincinnati,Warren,482,1687.5
